author_id,total_tweets,retweet_count,original_count,retweet_dependency,dependency_label
4413324922,34,34,0,100.0,100.0%
717367135765442560,34,34,0,100.0,100.0%
733772223249424384,34,34,0,100.0,100.0%
775402254585171968,34,34,0,100.0,100.0%
1005710484946014209,34,34,0,100.0,100.0%
1210443920867561472,34,34,0,100.0,100.0%
34550203,33,33,0,100.0,100.0%
76410194,33,33,0,100.0,100.0%
250027062,33,33,0,100.0,100.0%
595495656,33,33,0,100.0,100.0%
1660601785,33,33,0,100.0,100.0%
3007144852,33,33,0,100.0,100.0%
3372077079,33,33,0,100.0,100.0%
4744457182,33,33,0,100.0,100.0%
790602937315844097,33,33,0,100.0,100.0%
828930676095324160,33,33,0,100.0,100.0%
831406947660341248,33,33,0,100.0,100.0%
910190413776084993,33,33,0,100.0,100.0%
1087467579751452672,33,33,0,100.0,100.0%
1274092624866095104,33,33,0,100.0,100.0%
1368977421748363265,33,33,0,100.0,100.0%
221167471,32,32,0,100.0,100.0%
271289371,32,32,0,100.0,100.0%
408749444,32,32,0,100.0,100.0%
469650784,32,32,0,100.0,100.0%
517813429,32,32,0,100.0,100.0%
540099883,32,32,0,100.0,100.0%
573863364,32,32,0,100.0,100.0%
967955178,32,32,0,100.0,100.0%
1052820960,32,32,0,100.0,100.0%
1390327800,32,32,0,100.0,100.0%
2979776597,32,32,0,100.0,100.0%
3005048721,32,32,0,100.0,100.0%
3213104639,32,32,0,100.0,100.0%
4342978168,32,32,0,100.0,100.0%
868500323232514053,32,32,0,100.0,100.0%
876745734229561344,32,32,0,100.0,100.0%
943625339615547392,32,32,0,100.0,100.0%
966362869423136769,32,32,0,100.0,100.0%
1006626307231371267,32,32,0,100.0,100.0%
1071254637242658816,32,32,0,100.0,100.0%
1084649480564166656,32,32,0,100.0,100.0%
1115660089963061248,32,32,0,100.0,100.0%
1176376817831292928,32,32,0,100.0,100.0%
1190647921403936768,32,32,0,100.0,100.0%
1406487333940215810,32,32,0,100.0,100.0%
1427111267806949377,32,32,0,100.0,100.0%
1427674243337175045,32,32,0,100.0,100.0%
24347886,31,31,0,100.0,100.0%
44092408,31,31,0,100.0,100.0%
91960881,31,31,0,100.0,100.0%
141679865,31,31,0,100.0,100.0%
184699632,31,31,0,100.0,100.0%
206599445,31,31,0,100.0,100.0%
261256220,31,31,0,100.0,100.0%
273436713,31,31,0,100.0,100.0%
289527193,31,31,0,100.0,100.0%
306187923,31,31,0,100.0,100.0%
413415056,31,31,0,100.0,100.0%
430972026,31,31,0,100.0,100.0%
461039672,31,31,0,100.0,100.0%
548506788,31,31,0,100.0,100.0%
566471344,31,31,0,100.0,100.0%
